
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-27 20:24:15 /api/price-feed/quotes ............................................................... ~ 0.47ms
  2026-02-27 20:24:18 /api/price-feed/quotes ............................................................... ~ 0.49ms
  2026-02-27 20:24:20 /api/price-feed/quotes ............................................................. ~ 503.57ms
  2026-02-27 20:24:23 /api/price-feed/quotes ............................................................. ~ 513.46ms
  2026-02-27 20:24:26 /api/price-feed/quotes ............................................................. ~ 500.64ms
  2026-02-27 20:24:29 /api/price-feed/quotes ............................................................... ~ 0.45ms
  2026-02-27 20:24:32 /api/price-feed/quotes ............................................................. ~ 501.62ms
  2026-02-27 20:25:13 /api/price-feed/quotes ............................................................... ~ 0.45ms
  2026-02-27 20:25:17 /api/auth/me ......................................................................... ~ 0.47ms
  2026-02-27 20:25:18 /api/accounts ........................................................................ ~ 0.32ms
  2026-02-27 20:25:18 /api/instruments ..................................................................... ~ 0.20ms
  2026-02-27 20:25:18 /api/fx-rates ...................................................................... ~ 535.89ms
  2026-02-27 20:25:18 /api/dictionaries/strategy-models .................................................. ~ 542.92ms
  2026-02-27 20:25:18 /api/dictionaries/setups ............................................................ ~ 14.40ms
  2026-02-27 20:25:19 /api/dictionaries/killzones ......................................................... ~ 22.83ms
  2026-02-27 20:25:19 /api/dictionaries/trade-tags ....................................................... ~ 524.38ms
  2026-02-27 20:25:19 /api/dictionaries/sessions ......................................................... ~ 532.53ms
  2026-02-27 20:25:19 /api/instruments .................................................................... ~ 26.56ms
  2026-02-27 20:25:20 /api/trades .......................................................................... ~ 2.79ms
  2026-02-27 20:25:20 /api/trade-checklist/resolve ......................................................... ~ 0.43ms
  2026-02-27 20:25:21 /api/trade-checklist/resolve ....................................................... ~ 504.83ms
  2026-02-27 20:27:32 /api/accounts ............................................................................ ~ 1s
  2026-02-27 20:27:32 /api/instruments ......................................................................... ~ 1s
  2026-02-27 20:27:32 /api/fx-rates ............................................................................ ~ 1s
  2026-02-27 20:27:33 /api/instruments ................................................................... ~ 508.72ms
  2026-02-27 20:27:34 /api/accounts/2/risk-policy .......................................................... ~ 0.21ms
  2026-02-27 20:27:36 /api/price-feed/quotes ............................................................. ~ 513.07ms
  2026-02-27 20:27:38 /api/price-feed/quotes ............................................................. ~ 502.89ms
  2026-02-27 20:27:39 /api/price-feed/quotes ............................................................. ~ 501.03ms
  2026-02-27 20:27:41 /api/price-feed/quotes ............................................................. ~ 507.17ms
  2026-02-27 20:27:43 /api/price-feed/quotes ............................................................. ~ 501.79ms
  2026-02-27 20:27:46 /api/auth/me ....................................................................... ~ 506.76ms
  2026-02-27 20:27:46 /api/accounts ........................................................................ ~ 0.27ms
  2026-02-27 20:27:46 /api/instruments ................................................................... ~ 543.39ms
  2026-02-27 20:27:46 /api/fx-rates ...................................................................... ~ 573.13ms
  2026-02-27 20:27:47 /api/instruments ..................................................................... ~ 0.25ms
  2026-02-27 20:27:47 /api/accounts/2/risk-policy ........................................................ ~ 510.86ms
  2026-02-27 20:27:50 /api/price-feed/quotes ............................................................... ~ 0.53ms
  2026-02-27 20:27:51 /api/price-feed/quotes ............................................................... ~ 0.50ms
  2026-02-27 20:27:51 /api/price-feed/quotes ............................................................... ~ 0.33ms
  2026-02-27 20:27:53 /api/price-feed/quotes ............................................................... ~ 0.42ms
  2026-02-27 20:27:54 /api/price-feed/quotes ............................................................. ~ 504.85ms
  2026-02-27 20:27:57 /api/price-feed/quotes ............................................................. ~ 506.33ms
  2026-02-27 20:27:59 /api/price-feed/quotes ............................................................. ~ 504.13ms
  2026-02-27 20:28:02 /api/price-feed/quotes ............................................................. ~ 504.98ms
  2026-02-27 20:28:04 /api/price-feed/quotes ............................................................... ~ 0.57ms
  2026-02-27 20:28:06 /api/price-feed/quotes ............................................................... ~ 0.64ms
  2026-02-27 20:28:08 /api/price-feed/quotes ............................................................... ~ 0.80ms
  2026-02-27 20:28:11 /api/price-feed/quotes ............................................................... ~ 0.48ms
  2026-02-27 20:28:14 /api/price-feed/quotes ............................................................. ~ 506.40ms
  2026-02-27 20:28:17 /api/price-feed/quotes ............................................................. ~ 502.14ms
  2026-02-27 20:28:20 /api/price-feed/quotes ............................................................. ~ 500.93ms
  2026-02-27 20:28:22 /api/price-feed/quotes ............................................................... ~ 0.62ms
  2026-02-27 20:28:24 /api/price-feed/quotes ............................................................... ~ 0.34ms
  2026-02-27 20:28:25 /api/price-feed/quotes ............................................................. ~ 504.39ms
  2026-02-27 20:28:27 /api/price-feed/quotes ............................................................. ~ 502.15ms
  2026-02-27 20:28:29 /api/price-feed/quotes ............................................................... ~ 0.63ms
  2026-02-27 20:28:32 /api/price-feed/quotes ............................................................... ~ 0.56ms
  2026-02-27 20:28:34 /api/price-feed/quotes ............................................................... ~ 0.70ms
  2026-02-27 20:28:37 /api/price-feed/quotes ............................................................. ~ 504.68ms
  2026-02-27 20:28:39 /api/price-feed/quotes ............................................................. ~ 504.92ms
  2026-02-27 20:28:42 /api/price-feed/quotes ............................................................. ~ 501.61ms
  2026-02-27 20:28:44 /api/price-feed/quotes ............................................................... ~ 0.36ms
  2026-02-27 20:28:47 /api/price-feed/quotes ............................................................. ~ 515.42ms
  2026-02-27 20:28:50 /api/price-feed/quotes ............................................................... ~ 0.37ms
  2026-02-27 20:28:53 /api/price-feed/quotes ............................................................... ~ 0.95ms
  2026-02-27 20:28:56 /api/price-feed/quotes ............................................................... ~ 0.76ms
  2026-02-27 20:28:58 /api/price-feed/quotes ............................................................. ~ 500.82ms
  2026-02-27 20:29:00 /api/price-feed/quotes ............................................................. ~ 501.52ms
  2026-02-27 20:29:03 /api/price-feed/quotes ............................................................. ~ 506.78ms
  2026-02-27 20:29:06 /api/price-feed/quotes ............................................................... ~ 0.71ms
  2026-02-27 20:29:08 /api/price-feed/quotes ............................................................... ~ 1.37ms
  2026-02-27 20:29:11 /api/price-feed/quotes ............................................................... ~ 0.85ms
  2026-02-27 20:29:13 /api/price-feed/quotes ............................................................... ~ 0.92ms
  2026-02-27 20:29:15 /api/price-feed/quotes ............................................................... ~ 0.31ms
