
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-03-01 15:14:47 /api/analytics/dashboard-summary ................................................... ~ 516.17ms
  2026-03-01 15:14:47 /api/trades .......................................................................... ~ 0.16ms
  2026-03-01 15:14:47 /api/missed-trades ................................................................. ~ 551.72ms
  2026-03-01 15:15:32 /api/analytics/dashboard-summary ................................................... ~ 501.07ms
  2026-03-01 15:15:32 /api/trades ........................................................................ ~ 539.33ms
  2026-03-01 15:15:33 /api/missed-trades ................................................................. ~ 536.83ms
  2026-03-01 15:16:17 /api/analytics/dashboard-summary ..................................................... ~ 0.25ms
  2026-03-01 15:16:17 /api/trades ........................................................................ ~ 505.96ms
  2026-03-01 15:16:17 /api/missed-trades ................................................................. ~ 555.94ms
  2026-03-01 15:17:02 /api/analytics/dashboard-summary ................................................... ~ 500.99ms
  2026-03-01 15:17:02 /api/trades .......................................................................... ~ 0.20ms
  2026-03-01 15:17:02 /api/missed-trades ................................................................. ~ 554.03ms
  2026-03-01 15:17:47 /api/analytics/dashboard-summary ................................................... ~ 515.48ms
  2026-03-01 15:17:47 /api/trades .......................................................................... ~ 0.10ms
  2026-03-01 15:17:47 /api/missed-trades ................................................................. ~ 544.88ms
  2026-03-01 15:18:32 /api/analytics/dashboard-summary ......................................................... ~ 1s
  2026-03-01 15:18:33 /api/trades .......................................................................... ~ 0.10ms
  2026-03-01 15:18:33 /api/missed-trades .................................................................. ~ 32.44ms
  2026-03-01 15:19:17 /api/analytics/dashboard-summary ..................................................... ~ 0.13ms
  2026-03-01 15:19:17 /api/trades ........................................................................ ~ 503.73ms
  2026-03-01 15:19:17 /api/missed-trades ................................................................. ~ 539.71ms
  2026-03-01 15:20:02 /api/analytics/dashboard-summary ................................................... ~ 500.27ms
  2026-03-01 15:20:03 /api/trades ........................................................................ ~ 496.13ms
  2026-03-01 15:20:03 /api/missed-trades ................................................................. ~ 536.45ms
  2026-03-01 15:20:47 /api/analytics/dashboard-summary ................................................... ~ 501.20ms
  2026-03-01 15:20:47 /api/trades .......................................................................... ~ 0.19ms
  2026-03-01 15:20:47 /api/missed-trades ................................................................. ~ 543.28ms
  2026-03-01 15:21:32 /api/analytics/dashboard-summary ..................................................... ~ 0.21ms
  2026-03-01 15:21:32 /api/trades ........................................................................ ~ 524.60ms
  2026-03-01 15:21:32 /api/missed-trades ................................................................. ~ 538.59ms
  2026-03-01 15:22:17 /api/analytics/dashboard-summary ..................................................... ~ 0.36ms
  2026-03-01 15:22:17 /api/trades ........................................................................ ~ 550.44ms
  2026-03-01 15:22:17 /api/missed-trades ................................................................. ~ 599.30ms
  2026-03-01 15:23:02 /api/analytics/dashboard-summary ................................................... ~ 501.83ms
  2026-03-01 15:23:03 /api/trades ........................................................................ ~ 505.07ms
  2026-03-01 15:23:03 /api/missed-trades ................................................................. ~ 535.90ms
  2026-03-01 15:23:47 /api/analytics/dashboard-summary ................................................... ~ 500.84ms
  2026-03-01 15:23:47 /api/trades .......................................................................... ~ 0.13ms
  2026-03-01 15:23:47 /api/missed-trades ................................................................. ~ 544.57ms
  2026-03-01 15:24:32 /api/analytics/dashboard-summary ......................................................... ~ 1s
  2026-03-01 15:24:33 /api/trades .......................................................................... ~ 0.14ms
  2026-03-01 15:24:33 /api/missed-trades ................................................................. ~ 542.09ms
  2026-03-01 15:25:17 /api/analytics/dashboard-summary ..................................................... ~ 0.18ms
  2026-03-01 15:25:17 /api/trades ........................................................................ ~ 493.90ms
  2026-03-01 15:25:17 /api/missed-trades ................................................................. ~ 551.70ms
  2026-03-01 15:26:02 /api/analytics/dashboard-summary ................................................... ~ 504.64ms
  2026-03-01 15:26:02 /api/trades .......................................................................... ~ 0.22ms
  2026-03-01 15:26:02 /api/missed-trades .................................................................. ~ 61.96ms
  2026-03-01 15:26:47 /api/analytics/dashboard-summary ................................................... ~ 500.35ms
  2026-03-01 15:26:47 /api/trades .......................................................................... ~ 0.10ms
  2026-03-01 15:26:47 /api/missed-trades ................................................................. ~ 533.50ms
  2026-03-01 15:27:32 /api/analytics/dashboard-summary ................................................... ~ 501.05ms
  2026-03-01 15:27:33 /api/trades ........................................................................ ~ 501.70ms
  2026-03-01 15:27:33 /api/missed-trades ................................................................. ~ 557.43ms
  2026-03-01 15:28:17 /api/analytics/dashboard-summary ................................................... ~ 501.87ms
  2026-03-01 15:28:17 /api/trades ........................................................................ ~ 521.04ms
  2026-03-01 15:28:17 /api/missed-trades ................................................................. ~ 542.89ms
  2026-03-01 15:29:02 /api/analytics/dashboard-summary ................................................... ~ 501.24ms
  2026-03-01 15:29:03 /api/trades ........................................................................ ~ 503.99ms
  2026-03-01 15:29:03 /api/missed-trades ................................................................. ~ 556.02ms
  2026-03-01 15:29:47 /api/analytics/dashboard-summary ..................................................... ~ 0.31ms
  2026-03-01 15:29:47 /api/trades ........................................................................ ~ 506.93ms
  2026-03-01 15:29:47 /api/missed-trades ................................................................. ~ 541.06ms
  2026-03-01 15:30:32 /api/analytics/dashboard-summary ................................................... ~ 501.32ms
  2026-03-01 15:30:33 /api/trades ........................................................................ ~ 504.66ms
  2026-03-01 15:30:33 /api/missed-trades ................................................................. ~ 551.37ms
  2026-03-01 15:31:17 /api/analytics/dashboard-summary ................................................... ~ 504.56ms
  2026-03-01 15:31:18 /api/trades ........................................................................ ~ 500.52ms
