
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-28 11:46:14 /api/reports ......................................................................... ~ 0.28ms
  2026-02-28 11:46:15 /api/instruments ................................................................... ~ 509.72ms
  2026-02-28 11:46:15 /api/missed-trades ................................................................. ~ 549.27ms
  2026-02-28 11:46:15 /api/instruments ..................................................................... ~ 4.39ms
  2026-02-28 11:46:16 /api/instruments ................................................................... ~ 511.90ms
  2026-02-28 11:46:16 /api/dictionaries/strategy-models .................................................... ~ 0.24ms
  2026-02-28 11:46:16 /api/dictionaries/setups ........................................................... ~ 514.37ms
  2026-02-28 11:46:16 /api/dictionaries/killzones ........................................................ ~ 510.29ms
  2026-02-28 11:46:17 /api/dictionaries/trade-tags ........................................................ ~ 27.95ms
  2026-02-28 11:46:17 /api/dictionaries/sessions ......................................................... ~ 530.03ms
  2026-02-28 11:46:17 /api/instruments ................................................................... ~ 531.04ms
  2026-02-28 11:46:17 /api/accounts ....................................................................... ~ 57.28ms
  2026-02-28 11:46:17 /api/instruments ................................................................... ~ 524.21ms
  2026-02-28 11:46:18 /api/fx-rates ...................................................................... ~ 526.83ms
  2026-02-28 11:46:18 /api/dictionaries/strategy-models ................................................... ~ 43.40ms
  2026-02-28 11:46:18 /api/dictionaries/setups ........................................................... ~ 528.23ms
  2026-02-28 11:46:18 /api/dictionaries/killzones ........................................................ ~ 526.01ms
  2026-02-28 11:46:18 /api/dictionaries/trade-tags ........................................................ ~ 30.35ms
  2026-02-28 11:46:18 /api/dictionaries/sessions .......................................................... ~ 31.45ms
  2026-02-28 11:46:19 /api/trades ........................................................................ ~ 531.92ms
  2026-02-28 11:46:19 /api/instruments ................................................................... ~ 540.39ms
  2026-02-28 11:46:19 /api/reports ......................................................................... ~ 0.20ms
  2026-02-28 11:46:19 /api/trades ........................................................................ ~ 501.19ms
  2026-02-28 11:46:20 /api/trade-checklist/resolve ......................................................... ~ 0.39ms
  2026-02-28 11:46:20 /api/trade-checklist/resolve ......................................................... ~ 0.18ms
  2026-02-28 11:46:21 /api/user/preferences .............................................................. ~ 502.31ms
  2026-02-28 11:46:23 /api/accounts ........................................................................ ~ 0.60ms
  2026-02-28 11:46:23 /api/dictionaries/strategy-models .................................................. ~ 550.54ms
  2026-02-28 11:46:23 /api/dictionaries/setups ........................................................... ~ 571.88ms
  2026-02-28 11:46:24 /api/dictionaries/killzones ........................................................ ~ 566.65ms
